Type,AIR,Category,Sub Category,Institute,Subject,Allotted Category,Allotted ph,Admitted Round
AIIMS  Seats,51,UR,NO,"AIIMS, New Delhi",MBBS,OP,NO,1
AIIMS  Seats,54,EW,NO,"AIIMS, New Delhi",MBBS,EW,NO,1
AIIMS  Seats,59,OBC,NO,"AIIMS, New Delhi",MBBS,OBC,NO,1
AIIMS  Seats,64,OBC,NO,"AIIMS, New Delhi",MBBS,OBC,NO,1
AIIMS  Seats,66,OBC,NO,"AIIMS, New Delhi",MBBS,OBC,NO,1
AIIMS  Seats,69,OBC,NO,"AIIMS, New Delhi",MBBS,OBC,NO,1
AIIMS  Seats,77,OBC,NO,"AIIMS, New Delhi",MBBS,OBC,NO,1
AIIMS  Seats,78,OBC,NO,"AIIMS, New Delhi",MBBS,OBC,NO,1
AIIMS  Seats,85,OBC,NO,"AIIMS, New Delhi",MBBS,OBC,NO,1
AIIMS  Seats,87,SC,NO,"AIIMS, New Delhi",MBBS,SC,NO,1
AIIMS  Seats,93,OBC,NO,"AIIMS, New Delhi",MBBS,OBC,NO,1
AIIMS  Seats,95,EW,NO,"AIIMS, New Delhi",MBBS,EW,NO,1
AIIMS  Seats,97,OBC,NO,"AIIMS, New Delhi",MBBS,OBC,NO,1
AIIMS  Seats,99,ST,NO,"AIIMS, New Delhi",MBBS,ST,NO,1
AIIMS  Seats,107,EW,NO,"AIIMS, New Delhi",MBBS,EW,NO,1
AIIMS  Seats,109,OBC,NO,"AIIMS, New Delhi",MBBS,OBC,NO,1
AIIMS  Seats,113,OBC,NO,"AIIMS, New Delhi",MBBS,OBC,NO,1
AIIMS  Seats,117,UR,NO,"AIIMS, Jodhpur",MBBS,OP,NO,1
AIIMS  Seats,118,OBC,NO,"AIIMS, New Delhi",MBBS,OBC,NO,1
AIIMS  Seats,119,EW,NO,"AIIMS, New Delhi",MBBS,EW,NO,1
AIIMS  Seats,122,OBC,NO,"AIIMS, New Delhi",MBBS,OBC,NO,1
AIIMS  Seats,125,OBC,NO,"AIIMS, New Delhi",MBBS,OBC,NO,1
AIIMS  Seats,126,UR,NO,"AIIMS-Bhopal,",MBBS,OP,NO,1
AIIMS  Seats,129,UR,NO,"AIIMS-Bhopal,",MBBS,OP,NO,1
AIIMS  Seats,132,OBC,NO,"AIIMS, New Delhi",MBBS,OBC,NO,1
AIIMS  Seats,139,UR,NO,"AIIMS-Bhopal,",MBBS,OP,NO,1
AIIMS  Seats,141,OBC,NO,"AIIMS, New Delhi",MBBS,OBC,NO,1
AIIMS  Seats,142,OBC,NO,"AIIMS, New Delhi",MBBS,OBC,NO,1
AIIMS  Seats,144,OBC,NO,"AIIMS, New Delhi",MBBS,OBC,NO,1
AIIMS  Seats,145,OBC,NO,"AIIMS, New Delhi",MBBS,OBC,NO,1
AIIMS  Seats,146,OBC,NO,"AIIMS, New Delhi",MBBS,OBC,NO,1
AIIMS  Seats,150,UR,NO,"AIIMS, Jodhpur",MBBS,OP,NO,1
AIIMS  Seats,151,UR,NO,"AIIMS-Bhopal,",MBBS,OP,NO,1
AIIMS  Seats,153,OBC,NO,"AIIMS, New Delhi",MBBS,OBC,NO,1
AIIMS  Seats,155,EW,NO,"AIIMS, New Delhi",MBBS,EW,NO,1
AIIMS  Seats,156,OBC,NO,"AIIMS, New Delhi",MBBS,OBC,NO,1
AIIMS  Seats,162,EW,NO,"AIIMS, New Delhi",MBBS,EW,NO,1
AIIMS  Seats,166,UR,NO,"AIIMS-Bhopal,",MBBS,OP,NO,1
AIIMS  Seats,169,OBC,NO,"AIIMS, New Delhi",MBBS,OBC,NO,1
AIIMS  Seats,172,EW,NO,"AIIMS, New Delhi",MBBS,EW,NO,1
AIIMS  Seats,173,EW,NO,"AIIMS, New Delhi",MBBS,EW,NO,1
AIIMS  Seats,179,OBC,NO,"AIIMS, New Delhi",MBBS,OBC,NO,1
AIIMS  Seats,180,OBC,NO,"AIIMS, New Delhi",MBBS,OBC,NO,1
AIIMS  Seats,181,EW,NO,"AIIMS, New Delhi",MBBS,EW,NO,1
AIIMS  Seats,182,ST,NO,"AIIMS, New Delhi",MBBS,ST,NO,1
AIIMS  Seats,183,SC,NO,"AIIMS, New Delhi",MBBS,SC,NO,1
AIIMS  Seats,188,UR,NO,"AIIMS-Bhopal,",MBBS,OP,NO,2
AIIMS  Seats,193,OBC,NO,"AIIMS, New Delhi",MBBS,OBC,NO,1
AIIMS  Seats,196,OBC,NO,AIIMS Telangana  Bibi Nagar  Village Rangapur Mandal Name Bibinagar,MBBS,OP,NO,1
AIIMS  Seats,199,EW,NO,"AIIMS, New Delhi",MBBS,EW,NO,1
AIIMS  Seats,201,OBC,NO,"AIIMS, New Delhi",MBBS,OBC,NO,1
AIIMS  Seats,208,OBC,NO,"AIIMS, New Delhi",MBBS,OBC,NO,1
AIIMS  Seats,209,OBC,NO,"AIIMS, New Delhi",MBBS,OBC,NO,1
AIIMS  Seats,215,EW,NO,"AIIMS, New Delhi",MBBS,EW,NO,1
AIIMS  Seats,216,OBC,NO,"AIIMS, New Delhi",MBBS,OBC,NO,1
AIIMS  Seats,218,OBC,NO,"AIIMS, New Delhi",MBBS,OBC,NO,1
AIIMS  Seats,225,UR,NO,"AIIMS, Jodhpur",MBBS,OP,NO,1
AIIMS  Seats,228,UR,NO,"AIIMS, Bhubaneswar",MBBS,OP,NO,1
AIIMS  Seats,232,UR,NO,"AIIMS, Jodhpur",MBBS,OP,NO,1
AIIMS  Seats,237,OBC,NO,"AIIMS-Bhopal,",MBBS,OP,NO,1
AIIMS  Seats,244,UR,NO,"AIIMS-Bhopal,",MBBS,OP,NO,1
AIIMS  Seats,249,OBC,NO,"AIIMS-Bhopal,",MBBS,OP,NO,1
AIIMS  Seats,251,OBC,NO,"AIIMS, Bhubaneswar",MBBS,OP,NO,1
AIIMS  Seats,252,EW,NO,AIIMS Bathinda,MBBS,OP,NO,1
AIIMS  Seats,253,UR,NO,"AIIMS, Bhubaneswar",MBBS,OP,NO,1
AIIMS  Seats,255,UR,NO,"AIIMS-Bhopal,",MBBS,OP,NO,1
AIIMS  Seats,256,EW,NO,"AIIMS-Bhopal,",MBBS,OP,NO,1
AIIMS  Seats,258,UR,NO,"AIIMS-Bhopal,",MBBS,OP,NO,1
AIIMS  Seats,261,UR,NO,"AIIMS, Bhubaneswar",MBBS,OP,NO,1
AIIMS  Seats,269,UR,NO,"AIIMS-Bhopal,",MBBS,OP,NO,1
AIIMS  Seats,274,UR,NO,"AIIMS-Bhopal,",MBBS,OP,NO,1
AIIMS  Seats,276,UR,NO,"AIIMS, Bhubaneswar",MBBS,OP,NO,1
AIIMS  Seats,280,UR,NO,"AIIMS, Bhubaneswar",MBBS,OP,NO,1
AIIMS  Seats,287,UR,NO,"AIIMS, Bhubaneswar",MBBS,OP,NO,1
AIIMS  Seats,290,UR,NO,"AIIMS, Bhubaneswar",MBBS,OP,NO,1
AIIMS  Seats,300,UR,NO,"AIIMS, Bhubaneswar",MBBS,OP,NO,1
AIIMS  Seats,304,UR,NO,AIIMS Mangalagiri,MBBS,OP,NO,1
AIIMS  Seats,305,UR,NO,"AIIMS, Bhubaneswar",MBBS,OP,NO,1
AIIMS  Seats,311,UR,NO,"AIIMS-Bhopal,",MBBS,OP,NO,1
AIIMS  Seats,312,UR,NO,"AIIMS, Rishikesh",MBBS,OP,NO,1
AIIMS  Seats,313,UR,NO,"AIIMS-Bhopal,",MBBS,OP,NO,1
AIIMS  Seats,316,UR,NO,"AIIMS, Bhubaneswar",MBBS,OP,NO,1
AIIMS  Seats,319,UR,NO,"AIIMS-Bhopal,",MBBS,OP,NO,1
AIIMS  Seats,320,UR,NO,"AIIMS, Bhubaneswar",MBBS,OP,NO,1
AIIMS  Seats,328,OBC,NO,"AIIMS-Bhopal,",MBBS,OP,NO,1
AIIMS  Seats,330,UR,NO,"AIIMS, Jodhpur",MBBS,OP,NO,1
AIIMS  Seats,337,UR,NO,"AIIMS-Bhopal,",MBBS,OP,NO,1
AIIMS  Seats,346,UR,NO,"AIIMS, Jodhpur",MBBS,OP,NO,1
AIIMS  Seats,350,UR,NO,"AIIMS, Bhubaneswar",MBBS,OP,NO,1
AIIMS  Seats,351,SC,NO,"AIIMS, New Delhi",MBBS,SC,NO,1
AIIMS  Seats,353,UR,NO,"AIIMS-Bhopal,",MBBS,OP,NO,2
AIIMS  Seats,355,UR,NO,"AIIMS, Bhubaneswar",MBBS,OP,NO,1
AIIMS  Seats,363,UR,NO,"AIIMS, Jodhpur",MBBS,OP,NO,2
AIIMS  Seats,364,UR,NO,"AIIMS, Bhubaneswar",MBBS,OP,NO,1
AIIMS  Seats,366,UR,NO,"AIIMS-Bhopal,",MBBS,OP,NO,1
AIIMS  Seats,368,UR,NO,"AIIMS, Bhubaneswar",MBBS,OP,NO,1
AIIMS  Seats,370,UR,NO,"AIIMS, Jodhpur",MBBS,OP,NO,1
AIIMS  Seats,376,UR,NO,"AIIMS, Jodhpur",MBBS,OP,NO,1
AIIMS  Seats,377,OBC,NO,"AIIMS-Bhopal,",MBBS,OP,NO,1
AIIMS  Seats,378,OBC,NO,"AIIMS, Jodhpur",MBBS,OP,NO,1
AIIMS  Seats,383,UR,NO,AIIMS Mangalagiri,MBBS,OP,NO,1
AIIMS  Seats,385,UR,NO,"AIIMS, Rishikesh",MBBS,OP,NO,1
AIIMS  Seats,389,UR,NO,"AIIMS, Bhubaneswar",MBBS,OP,NO,1
AIIMS  Seats,391,UR,NO,"AIIMS, Bhubaneswar",MBBS,OP,NO,1
AIIMS  Seats,393,OBC,NO,"AIIMS-Bhopal,",MBBS,OP,NO,1
AIIMS  Seats,396,UR,NO,"AIIMS, Bhubaneswar",MBBS,OP,NO,1
AIIMS  Seats,402,UR,NO,"AIIMS-Bhopal,",MBBS,OP,NO,1
AIIMS  Seats,403,UR,NO,"AIIMS, Bhubaneswar",MBBS,OP,NO,1
AIIMS  Seats,404,UR,NO,"AIIMS, Bhubaneswar",MBBS,OP,NO,1
AIIMS  Seats,407,OBC,NO,"AIIMS, Bhubaneswar",MBBS,OP,NO,1
AIIMS  Seats,418,UR,NO,"AIIMS, Bhubaneswar",MBBS,OP,NO,1
AIIMS  Seats,419,UR,NO,"AIIMS, Bhubaneswar",MBBS,OP,NO,1
AIIMS  Seats,420,UR,NO,"AIIMS, Bhubaneswar",MBBS,OP,NO,1
AIIMS  Seats,421,UR,NO,"AIIMS, Bhubaneswar",MBBS,OP,NO,1
AIIMS  Seats,427,OBC,NO,"AIIMS-Bhopal,",MBBS,OP,NO,2
AIIMS  Seats,431,UR,NO,"AIIMS, Bhubaneswar",MBBS,OP,NO,1
AIIMS  Seats,433,UR,NO,"AIIMS, Bhubaneswar",MBBS,OP,NO,1
AIIMS  Seats,434,UR,NO,"AIIMS, Bhubaneswar",MBBS,OP,NO,1
AIIMS  Seats,435,UR,NO,"AIIMS, Bhubaneswar",MBBS,OP,NO,1
AIIMS  Seats,437,UR,NO,"AIIMS, Bhubaneswar",MBBS,OP,NO,1
AIIMS  Seats,441,OBC,NO,"AIIMS, Jodhpur",MBBS,OP,NO,1
AIIMS  Seats,444,UR,NO,"AIIMS-Bhopal,",MBBS,OP,NO,1
AIIMS  Seats,449,UR,NO,"AIIMS, Rishikesh",MBBS,OP,NO,1
AIIMS  Seats,452,UR,NO,"AIIMS, Jodhpur",MBBS,OP,NO,1
AIIMS  Seats,454,UR,NO,"AIIMS-Bhopal,",MBBS,OP,NO,1
AIIMS  Seats,456,UR,NO,"AIIMS, Bhubaneswar",MBBS,OP,NO,1
AIIMS  Seats,458,UR,NO,"AIIMS-Bhopal,",MBBS,OP,NO,1
AIIMS  Seats,461,UR,NO,"AIIMS, Jodhpur",MBBS,OP,NO,1
AIIMS  Seats,465,UR,NO,"AIIMS, Jodhpur",MBBS,OP,NO,1
AIIMS  Seats,466,UR,NO,"AIIMS, Bhubaneswar",MBBS,OP,NO,1
AIIMS  Seats,467,UR,NO,"AIIMS, Bhubaneswar",MBBS,OP,NO,1
AIIMS  Seats,470,SC,NO,"AIIMS, New Delhi",MBBS,SC,NO,1
AIIMS  Seats,473,UR,NO,"AIIMS-Bhopal,",MBBS,OP,NO,1
AIIMS  Seats,478,UR,NO,"AIIMS, Bhubaneswar",MBBS,OP,NO,1
AIIMS  Seats,479,UR,NO,"AIIMS, Jodhpur",MBBS,OP,NO,1
AIIMS  Seats,480,EW,NO,"AIIMS-Bhopal,",MBBS,OP,NO,1
AIIMS  Seats,482,UR,NO,"AIIMS, Bhubaneswar",MBBS,OP,NO,1
AIIMS  Seats,484,UR,NO,"AIIMS-Bhopal,",MBBS,OP,NO,1
AIIMS  Seats,496,OBC,NO,"AIIMS, Jodhpur",MBBS,OP,NO,1
AIIMS  Seats,500,UR,NO,"AIIMS-Bhopal,",MBBS,OP,NO,1
AIIMS  Seats,508,UR,NO,"AIIMS, Bhubaneswar",MBBS,OP,NO,1
AIIMS  Seats,509,EW,NO,"AIIMS, Jodhpur",MBBS,OP,NO,1
AIIMS  Seats,510,UR,NO,"AIIMS-Bhopal,",MBBS,OP,NO,1
AIIMS  Seats,512,SC,NO,"AIIMS, New Delhi",MBBS,SC,NO,1
AIIMS  Seats,513,UR,NO,"AIIMS, Bhubaneswar",MBBS,OP,NO,1
AIIMS  Seats,518,EW,NO,"AIIMS, Jodhpur",MBBS,OP,NO,2
AIIMS  Seats,520,OBC,NO,"AIIMS, Jodhpur",MBBS,OP,NO,1
AIIMS  Seats,521,UR,NO,"AIIMS, Bhubaneswar",MBBS,OP,NO,1
AIIMS  Seats,524,UR,NO,"AIIMS, Bhubaneswar",MBBS,OP,NO,2
AIIMS  Seats,525,UR,NO,"AIIMS, Bhubaneswar",MBBS,OP,NO,1
AIIMS  Seats,527,OBC,NO,"AIIMS, Bhubaneswar",MBBS,OP,NO,1
AIIMS  Seats,530,UR,NO,"AIIMS-Bhopal,",MBBS,OP,NO,1
AIIMS  Seats,535,UR,NO,"AIIMS-Bhopal,",MBBS,OP,NO,1
AIIMS  Seats,537,UR,NO,"AIIMS-Bhopal,",MBBS,OP,NO,1
AIIMS  Seats,540,UR,NO,"AIIMS, Jodhpur",MBBS,OP,NO,1
AIIMS  Seats,544,OBC,NO,"AIIMS, Jodhpur",MBBS,OP,NO,1
AIIMS  Seats,545,OBC,NO,"AIIMS, Jodhpur",MBBS,OP,NO,1
AIIMS  Seats,548,UR,NO,"AIIMS, Bhubaneswar",MBBS,OP,NO,1
AIIMS  Seats,550,UR,NO,"AIIMS, Rishikesh",MBBS,OP,NO,1
AIIMS  Seats,551,UR,NO,"AIIMS, Jodhpur",MBBS,OP,NO,1
AIIMS  Seats,554,OBC,NO,"AIIMS, Bhubaneswar",MBBS,OP,NO,2
AIIMS  Seats,555,OBC,NO,"AIIMS, Bhubaneswar",MBBS,OP,NO,1
AIIMS  Seats,556,UR,NO,"AIIMS, Bhubaneswar",MBBS,OP,NO,1
AIIMS  Seats,557,OBC,NO,"AIIMS-Bhopal,",MBBS,OP,NO,1
AIIMS  Seats,558,UR,NO,"AIIMS-Bhopal,",MBBS,OP,NO,1
AIIMS  Seats,560,OBC,NO,"AIIMS, Jodhpur",MBBS,OP,NO,1
AIIMS  Seats,566,OBC,NO,"AIIMS-Bhopal,",MBBS,OP,NO,1
AIIMS  Seats,568,UR,NO,"AIIMS, Jodhpur",MBBS,OP,NO,1
AIIMS  Seats,569,UR,NO,"AIIMS, Bhubaneswar",MBBS,OP,NO,1
AIIMS  Seats,572,OBC,NO,"AIIMS-Bhopal,",MBBS,OP,NO,1
AIIMS  Seats,574,OBC,NO,"AIIMS-Bhopal,",MBBS,OP,NO,1
AIIMS  Seats,575,UR,NO,"AIIMS-Bhopal,",MBBS,OP,NO,2
AIIMS  Seats,582,OBC,NO,"AIIMS, Bhubaneswar",MBBS,OBC,NO,1
AIIMS  Seats,587,UR,NO,"AIIMS-Bhopal,",MBBS,OP,NO,1
AIIMS  Seats,589,UR,NO,"AIIMS-Bhopal,",MBBS,OP,NO,1
AIIMS  Seats,591,OBC,NO,"AIIMS-Bhopal,",MBBS,OP,NO,1
AIIMS  Seats,593,EW,NO,"AIIMS, Jodhpur",MBBS,OP,NO,1
AIIMS  Seats,595,OBC,NO,"AIIMS-Bhopal,",MBBS,OBC,NO,1
AIIMS  Seats,597,UR,NO,"AIIMS-Bhopal,",MBBS,OP,NO,2
AIIMS  Seats,598,OBC,NO,"AIIMS, Jodhpur",MBBS,OP,NO,1
AIIMS  Seats,599,OBC,NO,"AIIMS-Bhopal,",MBBS,OP,NO,2
AIIMS  Seats,604,UR,NO,"AIIMS, Jodhpur",MBBS,OP,NO,1
AIIMS  Seats,605,UR,NO,"AIIMS-Bhopal,",MBBS,OP,NO,2
AIIMS  Seats,608,OBC,NO,"AIIMS-Bhopal,",MBBS,OBC,NO,1
AIIMS  Seats,609,SC,NO,"AIIMS, New Delhi",MBBS,SC,NO,1
AIIMS  Seats,612,EW,NO,"AIIMS-Bhopal,",MBBS,EW,NO,1
AIIMS  Seats,613,UR,NO,"AIIMS-Bhopal,",MBBS,OP,NO,2
AIIMS  Seats,614,UR,NO,"AIIMS-Bhopal,",MBBS,OP,NO,2
AIIMS  Seats,617,UR,NO,"AIIMS, Raipur",MBBS,OP,NO,1
AIIMS  Seats,619,EW,NO,"AIIMS, Raipur",MBBS,OP,NO,1
AIIMS  Seats,623,UR,NO,"AIIMS, Rishikesh",MBBS,OP,NO,1
AIIMS  Seats,624,OBC,NO,"AIIMS, Bhubaneswar",MBBS,OBC,NO,1
AIIMS  Seats,627,SC,NO,"AIIMS, New Delhi",MBBS,SC,NO,1
AIIMS  Seats,631,SC,NO,"AIIMS, New Delhi",MBBS,SC,NO,1
AIIMS  Seats,635,OBC,NO,"AIIMS-Bhopal,",MBBS,OBC,NO,1
AIIMS  Seats,640,UR,NO,"AIIMS, Raipur",MBBS,OP,NO,1
AIIMS  Seats,641,OBC,NO,"AIIMS-Bhopal,",MBBS,OBC,NO,1
AIIMS  Seats,643,UR,NO,AIIMS Mangalagiri,MBBS,OP,NO,1
AIIMS  Seats,644,OBC,NO,"AIIMS, Bhubaneswar",MBBS,OBC,NO,1
AIIMS  Seats,647,UR,NO,"AIIMS, Rishikesh",MBBS,OP,NO,1
AIIMS  Seats,661,UR,NO,"AIIMS, Jodhpur",MBBS,OP,NO,1
AIIMS  Seats,669,OBC,NO,"AIIMS-Bhopal,",MBBS,OBC,NO,1
AIIMS  Seats,675,UR,NO,"AIIMS, Jodhpur",MBBS,OP,NO,1
AIIMS  Seats,678,UR,NO,"AIIMS, Jodhpur",MBBS,OP,NO,1
AIIMS  Seats,679,UR,NO,"AIIMS, Jodhpur",MBBS,OP,NO,1
AIIMS  Seats,681,UR,NO,"AIIMS, Jodhpur",MBBS,OP,NO,1
AIIMS  Seats,683,EW,NO,"AIIMS, Jodhpur",MBBS,OP,NO,1
AIIMS  Seats,685,OBC,NO,"AIIMS-Bhopal,",MBBS,OBC,NO,1
AIIMS  Seats,686,OBC,NO,"AIIMS, Bhubaneswar",MBBS,OBC,NO,1
AIIMS  Seats,687,UR,NO,"AIIMS, Jodhpur",MBBS,OP,NO,1
AIIMS  Seats,691,UR,NO,"AIIMS, Bhubaneswar",MBBS,OP,NO,3
AIIMS  Seats,695,OBC,NO,"AIIMS, Jodhpur",MBBS,OP,NO,1
AIIMS  Seats,697,OBC,NO,"AIIMS, Jodhpur",MBBS,OP,NO,1
AIIMS  Seats,700,UR,NO,"AIIMS, Jodhpur",MBBS,OP,NO,1
AIIMS  Seats,701,OBC,NO,"AIIMS, Bhubaneswar",MBBS,OBC,NO,1
AIIMS  Seats,703,UR,NO,"AIIMS, Jodhpur",MBBS,OP,NO,1
AIIMS  Seats,706,OBC,NO,"AIIMS, Bhubaneswar",MBBS,OBC,NO,1
AIIMS  Seats,715,OBC,NO,"AIIMS, Bhubaneswar",MBBS,OBC,NO,1
AIIMS  Seats,722,OBC,NO,"AIIMS, Bhubaneswar",MBBS,OBC,NO,1
AIIMS  Seats,726,OBC,NO,"AIIMS, Bhubaneswar",MBBS,OBC,NO,1
AIIMS  Seats,728,UR,NO,"AIIMS, Jodhpur",MBBS,OP,NO,1
AIIMS  Seats,742,OBC,NO,"AIIMS, Jodhpur",MBBS,OP,NO,1
AIIMS  Seats,747,UR,NO,"AIIMS, Bhubaneswar",MBBS,OP,NO,3
AIIMS  Seats,748,UR,NO,"AIIMS, Jodhpur",MBBS,OP,NO,2
AIIMS  Seats,753,EW,NO,"AIIMS, Jodhpur",MBBS,OP,NO,1
AIIMS  Seats,754,OBC,NO,AIIMS Bathinda,MBBS,OP,NO,1
AIIMS  Seats,757,UR,NO,"AIIMS, Rishikesh",MBBS,OP,NO,1
AIIMS  Seats,760,UR,NO,"AIIMS, Jodhpur",MBBS,OP,NO,1
AIIMS  Seats,761,UR,NO,"AIIMS, Jodhpur",MBBS,OP,NO,1
AIIMS  Seats,763,OBC,NO,"AIIMS, Bhubaneswar",MBBS,OBC,NO,1
AIIMS  Seats,765,OBC,NO,"AIIMS, Rishikesh",MBBS,OP,NO,2
AIIMS  Seats,773,UR,NO,"AIIMS, Jodhpur",MBBS,OP,NO,1
AIIMS  Seats,785,UR,NO,"AIIMS, Jodhpur",MBBS,OP,NO,1
AIIMS  Seats,786,UR,NO,"AIIMS, Jodhpur",MBBS,OP,NO,1
AIIMS  Seats,790,UR,NO,"AIIMS, Jodhpur",MBBS,OP,NO,2
AIIMS  Seats,792,EW,NO,"AIIMS, Rishikesh",MBBS,OP,NO,1
AIIMS  Seats,796,OBC,NO,"AIIMS, Jodhpur",MBBS,OBC,NO,1
AIIMS  Seats,797,EW,NO,"AIIMS, Jodhpur",MBBS,EW,NO,1
AIIMS  Seats,798,UR,NO,"AIIMS, Rishikesh",MBBS,OP,NO,1
AIIMS  Seats,799,UR,NO,"AIIMS, Rishikesh",MBBS,OP,NO,1
AIIMS  Seats,801,OBC,NO,"AIIMS-Bhopal,",MBBS,OBC,NO,1
AIIMS  Seats,802,UR,NO,"AIIMS, Raipur",MBBS,OP,NO,1
AIIMS  Seats,811,UR,NO,AIIMS Bathinda,MBBS,OP,NO,1
AIIMS  Seats,812,UR,NO,"AIIMS, Raipur",MBBS,OP,NO,1
AIIMS  Seats,816,UR,NO,"AIIMS, Rishikesh",MBBS,OP,NO,1
AIIMS  Seats,817,UR,NO,"AIIMS, Bhubaneswar",MBBS,OP,NO,3
AIIMS  Seats,819,OBC,NO,"AIIMS, Bhubaneswar",MBBS,OBC,NO,1
AIIMS  Seats,820,SC,NO,"AIIMS, New Delhi",MBBS,SC,NO,1
AIIMS  Seats,826,UR,NO,AIIMS Mangalagiri,MBBS,OP,NO,1
AIIMS  Seats,843,UR,NO,"AIIMS, Rishikesh",MBBS,OP,NO,1
AIIMS  Seats,845,UR,NO,"AIIMS, Raipur",MBBS,OP,NO,1
AIIMS  Seats,849,UR,NO,"AIIMS, Raipur",MBBS,OP,NO,1
AIIMS  Seats,854,OBC,NO,"AIIMS-Bhopal,",MBBS,OBC,NO,1
AIIMS  Seats,857,UR,NO,"AIIMS, Rishikesh",MBBS,OP,NO,2
AIIMS  Seats,860,SC,NO,"AIIMS, New Delhi",MBBS,SC,NO,1
AIIMS  Seats,866,EW,NO,"AIIMS, Jodhpur",MBBS,EW,NO,1
AIIMS  Seats,869,UR,NO,"AIIMS, Patna",MBBS,OP,NO,1
